1,2,"",Santy,Dinosaur,Dinosaur 20mm ,2024,1,1
2,0,"",Balance Community,Secondaire,BC secondaire 20mm,2024,1,3
3,0,"",Balance Community,Silk 99,Silk 99,2021,1,3
4,0,"","","",Splice Polish,2024,1,3
5,0,yes,Gautier,"",Splice Gautier,2024,1,3
6,0,"",Raed,"",Dyneemite pro,2024,1,3
7,0,dimierda,spider'inov.fr,"",Boomboom,2018,1,3
8,0,"","","",X wing,2024,1,3
9,0,"",Spider'inov.fr,"",Sky diamond,2024,1,3
10,0,"","","",Lagoon,2024,1,3
11,0,"","","",Y2K,2024,1,3
12,0,"","","",joker,2024,1,3
13,0,"","","",samourai,2024,1,3
14,0,"","","",old moonwalk,2024,1,3
15,0,"","","",Feather pro,2024,1,3
16,0,"","","",rubbit,2024,1,3
17,0,"","","",spidersilk MK4,2024,1,3
18,0,"","","",green,2024,1,3
19,0,Dalmazi Permarig,Spider,Nylove,Spider Nylove,2022,1,4
20,0,"",santy,"",Dynausore,2024,,2
21,0,trittschlinge,"","",Testsample,2024,,2
22,0,Dalmazi Backup,Slacktivity,Pinktube,Pinktube (black),2020,,4
23,0,no pretensioning,SlackX,"",Dyneema single,2024,1,5
24,0,used webbing,Balance Communty,feather,BC feather 1.0,2018,,2
25,0,10mm inox bolt in cement,fischer,10mm inox bolt and hanger,10mm inox bolt in cement,2024,1,6
26,0,"","","",Standschlinge,1980,1,6
27,0,mit geschweistem Ring,unkown,"",Kletter Plättli Stahl ,1950,1,6
28,0,"offener kaputter Schnapper,  - Rebolting mit Drehverschluss",Austri Alpin,"",Stahlkarabiner,2020,1,6
29,0,"Abseilkarabiner mit reibschaden, zusammen mit STahl Maillon 8mm","","",Abseilstand Karabiner Alu,1950,1,6
30,0,offenes Maillon,rebolting,"",Maillon INOX 12mm offen,2024,1,6
31,0,"",unbekannt,"",Karabiner 10mm (abseilkarabiner),1950,1,6
32,0,Lonza Plättli,lonza,"",Plättchen Stahl,1950,1,6
33,1,welded Ring,Lappas,10mm welded Ring,Ring from Remy,2022,1,6
34,0,"","","",Tschechenhacken,1990,1,6
35,0,"purchased April 2024, exposed may 2024 - oct 2024",spider,nylove,Matteo nylove barch 2024,2024,1,4
36,0,Batch 2022 - esposed sept 2022 - may 2023,Spider,nylove,Sirios Nylove,2022,1,4
37,1,Batch (only 200m) 2022 [exposed: march 2024 - november 2024],Spider,Nylove,Nylove Prototype Blue,2022,1,4
38,0,Sebastian Egger,Slacktivity,Pinktube,Used Pinktube Freestyle Setup,2022,1,4
39,1,F3,BC,Feather Pro,Feather pro uv,2023,1,3
41,1,Seewn by Jerry,BC,Silk 99,Silk 99 - Loop to Loop,2024,1,7
42,0, test with PES,"","",silk 99 - test with PES,2024,1,7
40,2,"",Raed,Rainbow,Helicopter Burn sample PES,2024,1,1
43,3,"",raed,Man on the Moon,Helicopter Burn sample PA,2024,1,1
44,0,"",RAED,Dyneemite,Helicopter Burn sample DYN,2024,1,1
45,0,soft release,slackpro / linegrip,green,Slackpro soft release,2012,1,4
46,0,Landcousing,Landcrousing,2,Sonic 2,2014,1,4
47,0,old webbing,Elpehant,Bluewin,bluewing elephant,2012,1,4
48,1,old webbing ,slack.fr,dark blue,dark blue - old,2014,1,4
49,0,pauls old webbing,slackpro,green 4t,slackpro 4t,2014,1,4
50,0,new rope,tendon,"",Tendon Rope,2024,1,2
51,0,"",Black diamond,daisychain,Daisy Chain ,2015,1,4
52,0,2cm sling,mammut,unkown,Mammut Standschlinge,1995,1,4
53,0,"","","",keilseil,1995,1,2
54,0,old blackdiamond,Black Diamond,"",express / quickdraw,2012,1,2
56,0,snatch copy,"","",Abgottspann,2025,1,2
57,0,Used Harness loop,black diamond,"",Harness,1995,1,2
58,0,"Aramid / PES Rope, 8mm",Cousin Trestec,Aramstar 8mm,Aramid Rope for winching,2025,1,8
59,0,"",Slackmountain,Skyway,skyway,2019,1,1
60,0,"",Raed,parsec,parsec,2018,1,1
63,0,"",El Patron,Dynosaur,Dynosaur ,2025,1,9
64,1,"",black diamond,express sling,Climbing express sling,2004,1,9
65,0,"",SLackliner.de,"",YAW Brummel,2022,,11
66,1,"",Slacktivity,"",LSDTube,1900,1,12
67,0,"",Slacktivity,RedTube,RedTube,1900,1,12
68,0,"",Aki Slacklines,Polar,Polar,1900,1,12
69,0,GrischaSlack,raed,XWing,XWing,1900,1,12
70,0,"",Balance community,"",Spidersilk MK5,2024,1,9
71,0,according to standard with 10t DYN sling,Spider,Diamondlock,Diamondlock Spider,2025,1,13
72,0,polyeste tube,Slackinov,"",Cosmic,2020,1,2
73,0,electrolysis on gate,petzl,vertigo,petzl carabiner vertigo,2020,1,2
